,Unnamed: 0,#,Name,Article,Ring,Date,Links.1,Id_second_page
1054,94,205,"Non-Pro 2'6"" Hunter O/F",Hunters,Hunter Arena,2021-07-22,/results?id=us_11917&show=us_419,419
1055,95,201,$100 Non-Pro 2' Hunter O/F Stake,Hunters,Hunter Arena,2021-07-22,/results?id=us_11913&show=us_419,419
1056,96,200,Non-Pro 2' Hunter O/F,Hunters,Hunter Arena,2021-07-22,/results?id=us_11912&show=us_419,419
1057,97,116,"$500 SRJT 3'6"" Hunter O/F - Stake",Hunters,Hunter Arena,2021-07-22,/results?id=us_11908&show=us_419,419
1058,98,115,"Est. 3:00 SRJT 3'6"" Hunter O/F",Hunters,Hunter Arena,2021-07-22,/results?id=us_11907&show=us_419,419
1059,99,111,$500 USHJA 3' Hunter O/F - Stake,Hunters,Hunter Arena,2021-07-22,/results?id=us_11903&show=us_419,419
1060,100,110,Est. 1:00 USHJA 3' Hunter O/F,Hunters,Hunter Arena,2021-07-22,/results?id=us_11902&show=us_419,419
1061,101,106,"$100 USHJA 2'6"" Hunter O/F - Stake",Hunters,Hunter Arena,2021-07-22,/results?id=us_11898&show=us_419,419
1062,102,105,"Est. 10:15 USHJA 2'6"" Hunter O/F",Hunters,Hunter Arena,2021-07-22,/results?id=us_11897&show=us_419,419
1063,103,101,$100 USHJA 2' Hunter O/F - Stake,Hunters,Hunter Arena,2021-07-22,/results?id=us_11893&show=us_419,419
1064,104,100,USHJA 2' Hunter O/F,Hunters,Hunter Arena,2021-07-22,/results?id=us_11892&show=us_419,419
1065,105,26,"$10,000 1.40m FEI Speed",FEI Speed,Main Ring,2021-07-22,/results?id=us_11889&show=us_419,419
1066,106,49,Est. 9:45 $500 7 Year Old Power/Speed,II.2d Power and Speed,Arena 2,2021-07-22,/results?id=us_11886&show=us_419,419
1067,107,45,Est. 9:30 $500 5/6 Year Old Power/Speed (comb),II.2d Power and Speed,Arena 2,2021-07-22,/results?id=us_11882&show=us_419,419
1068,108,42,$1000 Horseflight 1.40m Jr/Am Power/Speed,II.2d Power and Speed,Main Ring,2021-07-22,/results?id=us_11879&show=us_419,419
